"Time","105_evt"
1590777450824,0
1590777451194,1
1590777451199,0
1590777451444,1
1590777451449,0
1590777451694,1
1590777451699,0
1590777452318,1
1590777452324,0
1590777452567,1
1590777452574,0
1590777452817,1
1590777452824,0
1590777453066,1
1590777453074,0
1590777453690,1
1590777453691,0
1590777454189,1
1590777454191,0
1590777454564,1
1590777454566,0
1590777454813,1
1590777454816,0
1590777455063,1
1590777455066,0
1590777455687,1
1590777455691,0
1590777455936,1
1590777455941,0
1590777456186,1
1590777456191,0
1590777456560,1
1590777456566,0
1590777456935,1
1590777456941,0
1590777457184,1
1590777457191,0
1590777457808,1
1590777457816,0
1590777458058,1
1590777458066,0
1590777458432,1
1590777458433,0
1590777459056,1
1590777459058,0
1590777459306,1
1590777459308,0
1590777459555,1
1590777459558,0
1590777459805,1
1590777459808,0
1590777460055,1
1590777460058,0
1590777460304,1
1590777460308,0
1590777460554,1
1590777460558,0
1590777460803,1
1590777460808,0
1590777461178,1
1590777461183,0
1590777462301,1
1590777462308,0
1590777463174,1
1590777463175,0
1590777463549,1
1590777463550,0
1590777463798,1
1590777463800,0
1590777463923,1
1590777463925,0
1590777464297,1
1590777464300,0
1590777464921,1
1590777464925,0
1590777465171,1
1590777465175,0
1590777465421,1
1590777465425,0
1590777466419,1
1590777466425,0
1590777466668,1
1590777466675,0
1590777467043,1
1590777467050,0
1590777467292,1
1590777467300,0
1590777467542,1
1590777467550,0
1590777467792,1
1590777467792,0
1590777468041,1
1590777468042,0
1590777468291,1
1590777468292,0
1590777468540,1
1590777468542,0
1590777468790,1
1590777468792,0
1590777469039,1
1590777469042,0
1590777469663,1
1590777469667,0
1590777469913,1
1590777469917,0
1590777470287,1
1590777470292,0
1590777470537,1
1590777470542,0
1590777470787,1
1590777470792,0
1590777471036,1
1590777471042,0
1590777471411,1
1590777471417,0
1590777471660,1
1590777471667,0
1590777471910,1
1590777471917,0
1590777472159,1
1590777472167,0
1590777472783,1
1590777472784,0
1590777473033,1
1590777473034,0
1590777473282,1
1590777473284,0
1590777473532,1
1590777473534,0
1590777473781,1
1590777473784,0
1590777474405,1
1590777474409,0
1590777474655,1
1590777474659,0
1590777474905,1
1590777474909,0
1590777475154,1
1590777475159,0
1590777476028,1
1590777476034,0
1590777476277,1
1590777476284,0
1590777476527,1
1590777476534,0
1590777476777,1
1590777476784,0
1590777477026,1
1590777477027,0
1590777477276,1
1590777477277,0
1590777477650,1
1590777477652,0
1590777478024,1
1590777478027,0
1590777478274,1
1590777478277,0
1590777478523,1
1590777478527,0
1590777478648,1
1590777478652,0
1590777479147,1
1590777479152,0
1590777479397,1
1590777479402,0
1590777479647,1
1590777479652,0
1590777479896,1
1590777479902,0
1590777480271,1
1590777480277,0
1590777480520,1
1590777480527,0
1590777481144,1
1590777481152,0
1590777481768,1
1590777481769,0
1590777482018,1
1590777482019,0
1590777482267,1
1590777482269,0
1590777482517,1
1590777482519,0
1590777482891,1
1590777482894,0
1590777483141,1
1590777483144,0
1590777483390,1
1590777483394,0
1590777483765,1
1590777483769,0
1590777484014,1
1590777484019,0
1590777484264,1
1590777484269,0
1590777484513,1
1590777484519,0
1590777485137,1
1590777485144,0
1590777485262,1
1590777485269,0
1590777485512,1
1590777485519,0
1590777486136,1
1590777486144,0
1590777486385,1
1590777486386,0
1590777486635,1
1590777486636,0
1590777486884,1
1590777486886,0
1590777487134,1
1590777487136,0
1590777487259,1
1590777487261,0
1590777487758,1
1590777487761,0
1590777488132,1
1590777488136,0
1590777488257,1
1590777488261,0
1590777488382,1
1590777488386,0
1590777488756,1
1590777488761,0
1590777489006,1
1590777489011,0
1590777489255,1
1590777489261,0
1590777489630,1
1590777489636,0
1590777489879,1
1590777489886,0
1590777490129,1
1590777490136,0
1590777490379,1
1590777490386,0
1590777491751,1
1590777491753,0
1590777492001,1
1590777492003,0
1590777492250,1
1590777492253,0
1590777492625,1
1590777492628,0
1590777492874,1
1590777492878,0
1590777493374,1
1590777493378,0
1590777493623,1
1590777493628,0
1590777494122,1
1590777494128,0
1590777494372,1
1590777494378,0
1590777494621,1
1590777494628,0
1590777494871,1
1590777494878,0
1590777495245,1
1590777495253,0
1590777495495,1
1590777495503,0
1590777495745,1
1590777495745,0
1590777495994,1
1590777495995,0
1590777496244,1
1590777496245,0
1590777496493,1
1590777496495,0
1590777497242,1
1590777497245,0
1590777497616,1
1590777497620,0
1590777497866,1
1590777497870,0
1590777498116,1
1590777498120,0
1590777498365,1
1590777498370,0
1590777498864,1
1590777498870,0
1590777499114,1
1590777499120,0
1590777499363,1
1590777499370,0
1590777499613,1
1590777499620,0
1590777499863,1
1590777499870,0
1590777500362,1
1590777500362,0
1590777500487,1
1590777500487,0
1590777500736,1
1590777500737,0
1590777500986,1
1590777500987,0
1590777501360,1
1590777501362,0
1590777501610,1
1590777501612,0
1590777501859,1
1590777501862,0
1590777502358,1
1590777502362,0
1590777502733,1
1590777502737,0
1590777502982,1
1590777502987,0
1590777503606,1
1590777503612,0
1590777503856,1
1590777503862,0
1590777504105,1
1590777504112,0
1590777504355,1
1590777504362,0
1590777504605,1
1590777504612,0
1590777504854,1
1590777504862,0
1590777505104,1
1590777505104,0
1590777505353,1
1590777505354,0
1590777505603,1
1590777505604,0
1590777505853,1
1590777505854,0
1590777506102,1
1590777506104,0
1590777506352,1
1590777506354,0
1590777506601,1
1590777506604,0
1590777506851,1
1590777506854,0
1590777507225,1
1590777507229,0
1590777507475,1
1590777507479,0
1590777507724,1
1590777507729,0
1590777507849,1
1590777507854,0
1590777508348,1
1590777508354,0
1590777508598,1
1590777508604,0
1590777508848,1
1590777508854,0
1590777509347,1
1590777509354,0
1590777509721,1
1590777509721,0
1590777509971,1
1590777509972,0
1590777510220,1
1590777510222,0
1590777510470,1
1590777510472,0
1590777510844,1
1590777510847,0
1590777511094,1
1590777511097,0
1590777511718,1
1590777511721,0
1590777511967,1
1590777511971,0
1590777512342,1
1590777512346,0
1590777512716,1
1590777512721,0
1590777512966,1
1590777512971,0
1590777513215,1
1590777513221,0
1590777513590,1
1590777513597,0
1590777513839,1
1590777513846,0
1590777514089,1
1590777514096,0
1590777514338,1
1590777514339,0
1590777514713,1
1590777514714,0
1590777515087,1
1590777515089,0
1590777515337,1
1590777515339,0
1590777515836,1
1590777515839,0
1590777516085,1
1590777516089,0
1590777516210,1
1590777516214,0
1590777516460,1
1590777516464,0
1590777516834,1
1590777516839,0
1590777517084,1
1590777517089,0
1590777517333,1
1590777517339,0
1590777517583,1
1590777517589,0
1590777518082,1
1590777518089,0
1590777518207,1
1590777518214,0
1590777518831,1
1590777518839,0
1590777519080,1
1590777519081,0
1590777519455,1
1590777519456,0
1590777519704,1
1590777519706,0
1590777519954,1
1590777519956,0
1590777520203,1
1590777520206,0
1590777520578,1
1590777520581,0
1590777520827,1
1590777520831,0
1590777521077,1
1590777521081,0
1590777521701,1
1590777521706,0
1590777521950,1
1590777521956,0
1590777522200,1
1590777522206,0
1590777522325,1
1590777522331,0
1590777523074,1
1590777523081,0
1590777523323,1
1590777523331,0
1590777523573,1
1590777523581,0
1590777523822,1
1590777523823,0
1590777524197,1
1590777524198,0
1590777524446,1
1590777524448,0
1590777524945,1
1590777524948,0
1590777525195,1
1590777525198,0
1590777525445,1
1590777525448,0
1590777525694,1
1590777525698,0
1590777526069,1
1590777526073,0
1590777526942,1
1590777526948,0
